156,d_nishiyama_hs,abc,c,075,3014,length,1691,3,1020,https://atcoder.jp/contests/abc075/submissions/2421507
157,mick0321,abc,c,075,3014,length,979,2,1020,https://atcoder.jp/contests/abc075/submissions/2673117
158,phykmqqq,abc,c,075,3014,length,1942,2,1020,https://atcoder.jp/contests/abc075/submissions/2693727
159,eliza0x,abc,c,075,3014,length,1587,2,1020,https://atcoder.jp/contests/abc075/submissions/2825562
160,nmjiri,abc,c,076,3014,length,730,1,764,https://atcoder.jp/contests/abc076/submissions/1719215
161,hsanno,abc,c,076,3014,length,574,2,508,https://atcoder.jp/contests/abc076/submissions/1719812
162,refle,abc,c,076,3014,length,697,1,508,https://atcoder.jp/contests/abc076/submissions/1719899
163,lodnix,abc,c,076,3014,length,1317,2,380,https://atcoder.jp/contests/abc076/submissions/1720903
164,lrmystp,abc,c,076,3014,length,1357,2,636,https://atcoder.jp/contests/abc076/submissions/1722513
165,pekempey,abc,c,076,3014,length,924,2,892,https://atcoder.jp/contests/abc076/submissions/1722605
166,u15R,abc,c,076,3014,length,462,2,892,https://atcoder.jp/contests/abc076/submissions/1722847
167,hillpeople,abc,c,076,3014,length,321,2,508,https://atcoder.jp/contests/abc076/submissions/1722951
168,aimy,abc,c,076,3014,length,640,1,508,https://atcoder.jp/contests/abc076/submissions/1726180
169,amanuko,abc,c,076,3014,length,1005,1,636,https://atcoder.jp/contests/abc076/submissions/1872904
170,you070707,abc,c,076,3014,length,1328,2,764,https://atcoder.jp/contests/abc076/submissions/1931565
171,sifi_border,abc,c,076,3014,length,870,2,636,https://atcoder.jp/contests/abc076/submissions/1991705
172,eliza0x,abc,c,076,3014,length,704,1,508,https://atcoder.jp/contests/abc076/submissions/2116377
173,Lithium,abc,c,076,3014,length,1557,1,636,https://atcoder.jp/contests/abc076/submissions/2244672
174,proton06,abc,c,076,3014,length,869,1,508,https://atcoder.jp/contests/abc076/submissions/2309444
175,d_nishiyama_hs,abc,c,076,3014,length,807,1,508,https://atcoder.jp/contests/abc076/submissions/2311440
176,atctk,abc,c,076,3014,length,580,2,508,https://atcoder.jp/contests/abc076/submissions/2416644
177,mick0321,abc,c,076,3014,length,636,2,636,https://atcoder.jp/contests/abc076/submissions/2670388
178,phykmqqq,abc,c,076,3014,length,1190,2,636,https://atcoder.jp/contests/abc076/submissions/2693886
179,eliza0x,abc,c,076,3014,length,744,1,508,https://atcoder.jp/contests/abc076/submissions/2825667
180,cojna,abc,c,079,3014,length,326,1,380,https://atcoder.jp/contests/abc079/submissions/1783820
181,lodnix,abc,c,079,3014,length,461,2,508,https://atcoder.jp/contests/abc079/submissions/1784538
182,lrmystp,abc,c,079,3014,length,1067,1,508,https://atcoder.jp/contests/abc079/submissions/1785825
183,Rjo,abc,c,079,3014,length,460,1,508,https://atcoder.jp/contests/abc079/submissions/1787334
184,Gash788,abc,c,079,3014,length,807,1,380,https://atcoder.jp/contests/abc079/submissions/1787454
185,neetsdkasu,abc,c,079,3014,length,486,2,508,https://atcoder.jp/contests/abc079/submissions/1788835
186,nmjiri,abc,c,079,3014,length,502,1,380,https://atcoder.jp/contests/abc079/submissions/1789228
